product_id,status,price,post_url,likes,comments,shares,score,date,original_price,adjusted_price,reel_id,category,caption_style,hook_style,hashtag_style,music_url,reel_url,reel_likes,reel_comments,reel_views,engagement_score,analytics_updated_at
Pe-49-00-00-496,posted,,https://www.facebook.com/1545129657623532,,,,,2026-05-04 20:21:09,945.0,945.0,,,,,,,,0,0,0,0,
,posted,,,0.0,0.0,0.0,5.0,2026-05-04 20:32:11.177581,,,,,,,,,,0,0,0,0,
Ba-50-00-00-505,posted,1984.5,https://facebook.com/1545143450955486,0.0,0.0,0.0,5.0,2026-05-04 20:40:18.992560,,,,,,,,,,0,0,0,0,
Ai-45-00-00-459,posted,2728.95,https://facebook.com/1545343644268800,0.0,0.0,0.0,5.0,2026-05-05 02:39:51.813850,,,,,,,,,,0,0,0,0,
Ba-50-00-00-506,posted,1984.5,https://facebook.com/1545429234260241,0.0,0.0,0.0,5.0,2026-05-05 04:59:25.312287,,,,,,,,,,0,0,0,0,
Ho-80-00-00-802,posted,460.95,https://facebook.com/1545547177581780,0.0,0.0,0.0,5.0,2026-05-05 08:08:24.576405,,,,,,,,,,0,0,0,0,
Pe-45-00-00-451,posted,425.25,https://facebook.com/1545750747561423,0.0,0.0,0.0,5.0,2026-05-05 13:06:42.488684,,,,,,,,,,0,0,0,0,
Pe-49-00-12-492,posted,326.55,https://facebook.com/105834518183309_1545786747557823,0.0,0.0,0.0,5.0,2026-05-05 13:55:31.502240,,,,,,,,,,0,0,0,0,
Pe-54-00-00-544,posted,481.95,https://facebook.com/105834518183309_1545789707557527,0.0,0.0,0.0,5.0,2026-05-05 13:59:45.170560,,,,,,,,,,0,0,0,0,
Pe-60-00-00-607,posted,1105.65,https://facebook.com/105834518183309_1545797427556755,0.0,0.0,0.0,5.0,2026-05-05 14:09:48.787998,,,,,,,,,,0,0,0,0,
Vi-47-00-12-474,posted,1169.7,https://facebook.com/105834518183309_1545803464222818,0.0,0.0,0.0,5.0,2026-05-05 14:18:14.639526,,,,,,,,,,0,0,0,0,
Ho-70-00-00-703,posted,799.0,https://facebook.com/105834518183309_1545812804221884,0.0,0.0,0.0,5.0,2026-05-05 14:26:33.124529,,,,,,,,,,0,0,0,0,
